,Complainant,No. of cases
0,Iffco Tokio General Insurance Co.Ltd.,187
1,"1. The Branch Manager, M/s. Bajaj Allianz General Insurance Co. Ltd., and 2 Others",106
2,United India Insurance Co.Ltd.,95
3,National Insurance Co.Ltd.,80
4,L .I. C. of India,66
5,"1. Bajaj Allianz Life Insurance Company Ltd., Rep. by its Authorised Signatory and another",64
6,"Central Bank of India, Vemuru, Guntur District, Rep. by Manager, Gorantla Venkayya",63
7,M/s. Landmark Associate,63
8,B.S.SHARMA,63
9,"1. The Branch Manager/Authorised Signatory, Exide Life Insurance Company Limited, and another",60
