,Respondent,No. of cases
0,VED SHLOK Through its Partners,36
1,SHANTA MANGESH DEVELOPERS PVT.LTD.THROUGH DIRECTOR MR.VIJAY S.MALLYA AND ANR,18
2,Dharmesh Constructions Pvt. Ltd,10
3,ICICI BANK LTD.AND ORS,10
4,SAIKALP ENTERPRISES Through MR. GIRISH P. PANCHAL,10
5,AUM ASSOCIATES THROUGH PARTNER MR.YUNUS ZAVERI AND ORS,6
6,M/S.RAJESH G.GHARAT INFRA PVT.LTD.THROUGH IS DIRECTOR MR.RAJESH G.GHARAT,6
7,M/s Zenal Construction Private Ltd,6
8,"The State of Maharashtra through The Collector, Sangli etc.",6
9,M/S.AUM CONSTRUCTION MANAGEMENT SERVICE PVT.LTD.THROUGH MR.KISHORE S.SHETH AND ORS,5
